"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 03 15:13:31 UTC 2026","Wed Jun 03 15:13:31 UTC 2026","0","Genesys SDET Exercise","Scenario 2 - API: Swagger Validation","com.outbound.tests.api.SwaggerApiTest","com.outbound.tests.api.SwaggerApiTest","messagingCampaignsPostHasRequestBodySchema","Test 4: POST /outbound/messagingcampaigns has request body schema",""
"passed","Wed Jun 03 15:13:31 UTC 2026","Wed Jun 03 15:13:31 UTC 2026","1","Genesys SDET Exercise","Scenario 2 - API: Swagger Validation","com.outbound.tests.api.SwaggerApiTest","com.outbound.tests.api.SwaggerApiTest","swaggerSpecReturns200WithValidJson","Test 1: Swagger spec returns 200 OK with valid JSON",""
"passed","Wed Jun 03 15:13:31 UTC 2026","Wed Jun 03 15:13:31 UTC 2026","2","Genesys SDET Exercise","Scenario 2 - API: Swagger Validation","com.outbound.tests.api.SwaggerApiTest","com.outbound.tests.api.SwaggerApiTest","swaggerContainsAtLeastFiveOutboundPaths","Test 2: Swagger spec contains at least 5 outbound paths",""
"passed","Wed Jun 03 15:13:31 UTC 2026","Wed Jun 03 15:13:31 UTC 2026","8","Genesys SDET Exercise","Scenario 2 - API: Swagger Validation","com.outbound.tests.api.SwaggerApiTest","com.outbound.tests.api.SwaggerApiTest","messagingCampaignSchemaHasExpectedProperties","Test 5: MessagingCampaign schema has expected properties",""
"passed","Wed Jun 03 15:13:38 UTC 2026","Wed Jun 03 15:13:42 UTC 2026","3751","Genesys SDET Exercise","Scenario 1 - UI: Developer Center Navigation","com.outbound.tests.ui.DeveloperCenterUITest","com.outbound.tests.ui.DeveloperCenterUITest","outboundApiSectionIsDisplayed","Test 3: Outbound API section is displayed with available endpoints",""
"passed","Wed Jun 03 15:13:34 UTC 2026","Wed Jun 03 15:13:38 UTC 2026","3455","Genesys SDET Exercise","Scenario 1 - UI: Developer Center Navigation","com.outbound.tests.ui.DeveloperCenterUITest","com.outbound.tests.ui.DeveloperCenterUITest","apiExplorerLoadsWithCategories","Test 2: API Explorer loads with visible API category list",""
"passed","Wed Jun 03 15:13:42 UTC 2026","Wed Jun 03 15:13:49 UTC 2026","6375","Genesys SDET Exercise","Scenario 1 - UI: Developer Center Navigation","com.outbound.tests.ui.DeveloperCenterUITest","com.outbound.tests.ui.DeveloperCenterUITest","outboundEndpointDetailIsComplete","Test 4 & 5: Outbound endpoint detail view shows HTTP method, path, parameters, and response schema",""
"passed","Wed Jun 03 15:13:33 UTC 2026","Wed Jun 03 15:13:34 UTC 2026","1128","Genesys SDET Exercise","Scenario 1 - UI: Developer Center Navigation","com.outbound.tests.ui.DeveloperCenterUITest","com.outbound.tests.ui.DeveloperCenterUITest","homePageLoads","Test 1: Developer Center home page loads successfully",""
"passed","Wed Jun 03 15:13:31 UTC 2026","Wed Jun 03 15:13:31 UTC 2026","0","Genesys SDET Exercise","Scenario 2 - API: Swagger Validation","com.outbound.tests.api.SwaggerApiTest","com.outbound.tests.api.SwaggerApiTest","messagingCampaignsGetHas200ResponseWithSchema","Test 3: GET /outbound/messagingcampaigns has 200 response with schema",""
